year,period,n_households_weighted,n_mono_weighted,pct_mono_defB
2007,1,208705.0,42802.0,20.5084
2008,1,211231.0,43404.0,20.5481
2009,1,213483.0,45650.0,21.3834
2010,1,210800.0,41667.0,19.7661
2011,1,215891.0,37143.0,17.2045
2012,1,219391.0,33078.0,15.0772
2013,1,205764.0,34493.0,16.7634
2014,1,223947.0,45083.0,20.1311
2015,1,229840.0,47685.0,20.747
2016,2,224688.0,46319.0,20.6148
2017,1,212087.0,42964.0,20.2577
2018,1,212971.0,51996.0,24.4146
2019,1,230568.0,46615.0,20.2175
2020,1,234993.0,52395.0,22.2964
2020,4,253904.0,75801.0,29.8542
2021,1,245668.0,55379.0,22.5422
2022,1,241375.0,56525.0,23.4179
2023,1,246370.0,54652.0,22.1829
2024,1,263099.0,63302.0,24.0601
2025,1,276745.0,70431.0,25.4498
2025,2,278912.0,65049.0,23.3224
2025,3,271473.0,63143.0,23.2594
