year,period,n_households_weighted,n_mono_weighted,pct_mono_defB
2005,1,3541352.0,657418.0,18.564
2006,1,3544401.0,691431.0,19.5077
2007,1,3621776.0,694864.0,19.1857
2008,1,3800067.0,698283.0,18.3755
2009,1,3826785.0,697419.0,18.2247
2010,1,3825088.0,722473.0,18.8877
2011,1,3838693.0,679352.0,17.6975
2012,1,3966845.0,712413.0,17.9592
2013,1,3999843.0,741340.0,18.5342
2014,1,4074538.0,765426.0,18.7856
2015,1,4122475.0,807346.0,19.584
2016,2,4037984.0,807100.0,19.9877
2017,1,4102139.0,879321.0,21.4357
2018,1,4064470.0,859723.0,21.1522
2019,1,4274184.0,891822.0,20.8653
2020,1,4293094.0,984573.0,22.9339
2020,4,4613426.0,1308219.0,28.3568
2021,1,4474703.0,1078121.0,24.0937
2022,1,4575676.0,1063096.0,23.2336
2023,1,4717818.0,1119395.0,23.727
2024,1,4739773.0,1222593.0,25.7943
2025,1,4881770.0,1290786.0,26.4409
2025,2,4887008.0,1285034.0,26.2949
2025,3,4835727.0,1247304.0,25.7935
